,XMLNZEUR,GNOEUR,NANOEUR,SCEUR,LSKEUR,MKREUR,GHSTEUR,PERPEUR,LRCEUR,MOVREUR,SDNEUR
1630797462.5166838,94.541000,258.240000,5.688962,0.019250,3.536512,3000.20000,1.596100,16.16000,0.428900,116.919900,4.90000
1630797493.9290051,94.541000,258.240000,5.688962,0.019250,3.536512,3000.20000,1.596100,16.16000,0.428900,115.930000,4.95300
1630797525.6166909,94.541000,258.240000,5.688962,0.019260,3.536512,3000.20000,1.596100,16.16000,0.428900,115.930000,4.93900
1630797557.0126748,94.541000,258.240000,5.689677,0.019300,3.536512,3000.20000,1.596100,16.16000,0.428900,115.930000,4.87200
1630797588.4046867,94.541000,258.240000,5.689677,0.019230,3.536512,3000.20000,1.596100,16.16000,0.428900,115.930000,4.91800
1630797619.7487025,94.541000,258.240000,5.689677,0.019200,3.532507,3000.20000,1.596100,16.16000,0.428900,115.930000,4.91800
1630797651.092693,94.541000,258.240000,5.689677,0.019190,3.532507,3000.20000,1.596100,16.16000,0.428900,117.996500,4.91800
1630797682.8407028,94.541000,258.240000,5.688962,0.019270,3.532507,3000.20000,1.596100,16.16000,0.428900,117.996500,4.91800
1630797714.2206864,94.541000,258.240000,5.688962,0.019270,3.532507,3000.20000,1.596100,16.16000,0.428900,115.930000,4.91800
1630797745.5806842,94.541000,258.710000,5.688962,0.019290,3.532507,3000.20000,1.596100,16.15600,0.428900,115.930000,4.91800
1630797776.9477081,94.541000,258.710000,5.688962,0.019300,3.532507,3000.20000,1.596100,16.12300,0.428900,115.930000,4.89400
1630797808.3157558,94.541000,258.710000,5.688962,0.019390,3.532507,3000.20000,1.596100,16.15600,0.428900,115.930000,4.88900
1630797839.668619,94.541000,258.710000,5.688962,0.019370,3.532507,3000.20000,1.601500,16.15600,0.428900,115.930000,4.87200
1630797870.9947488,94.541000,258.710000,5.688962,0.019360,3.532507,3000.20000,1.601500,16.15600,0.428900,115.930000,4.87200
1630797902.3376873,94.541000,258.710000,5.685000,0.019350,3.532507,2985.10000,1.601500,16.15600,0.428900,115.930000,4.87200
1630797933.7381375,94.541000,258.710000,5.685000,0.019350,3.532507,2985.10000,1.601500,16.15600,0.428900,115.930000,4.87200
1630797965.0886805,94.541000,258.710000,5.685000,0.019340,3.532507,2985.10000,1.601500,16.15600,0.428900,115.930000,4.87200
1630797996.4598775,94.541000,256.830000,5.685000,0.019340,3.532507,2985.10000,1.601500,16.15600,0.428900,115.930000,4.87200
1630798027.7966952,94.541000,256.830000,5.685000,0.019380,3.532507,2985.10000,1.601500,16.15600,0.428900,115.930000,4.87200
1630798059.2326999,94.541000,256.830000,5.685000,0.019440,3.532507,2985.10000,1.601500,16.15600,0.428900,115.930000,4.93000
1630798090.5633101,94.091000,256.830000,5.685000,0.019450,3.532507,2985.10000,1.601500,16.15600,0.428900,115.930000,4.87300
1630798121.920686,93.836000,256.830000,5.685000,0.019460,3.532507,2985.10000,1.601500,16.15600,0.428900,115.930000,4.87300
1630798153.2607877,93.836000,256.830000,5.685000,0.019420,3.532507,2985.10000,1.601500,16.15600,0.428900,115.930000,4.87300
1630798184.7029734,93.836000,256.830000,5.685000,0.019420,3.532507,2985.10000,1.601500,16.15600,0.428900,115.930000,4.87300
1630798216.068682,93.836000,256.830000,5.685000,0.019420,3.532507,2985.10000,1.601500,16.15600,0.428900,115.930000,4.95400
1630798247.4303098,93.836000,256.830000,5.685000,0.019490,3.532507,2985.10000,1.601500,16.20400,0.428900,115.930000,4.95400
1630798278.8007026,93.836000,256.830000,5.685000,0.019530,3.532507,2985.10000,1.601500,16.20400,0.428900,115.930000,4.96500
1630798310.1811743,93.836000,256.830000,5.685000,0.019530,3.532507,2985.10000,1.601500,16.20400,0.428900,115.930000,4.96500
1630798341.5446863,93.836000,256.830000,5.685000,0.019530,3.532507,2985.10000,1.601500,16.20400,0.428900,115.930000,4.98900
1630798372.920676,93.836000,256.830000,5.685000,0.019560,3.532507,2985.10000,1.601500,16.20400,0.428900,115.930000,4.98900
1630798404.256694,93.836000,256.830000,5.685000,0.019580,3.532507,2985.10000,1.601500,16.20400,0.428900,115.930000,4.96500
1630798435.592789,93.836000,256.830000,5.685000,0.019540,3.532507,2985.10000,1.601500,16.20400,0.428900,115.930000,4.98500
1630798467.0381422,93.836000,256.830000,5.685000,0.019540,3.532507,2985.10000,1.601500,16.20400,0.428900,115.930000,4.98500
1630798498.406765,93.836000,256.830000,5.685000,0.019540,3.532507,2985.10000,1.601500,16.20400,0.428900,115.930000,4.98500
1630798529.7669184,93.836000,256.830000,5.685000,0.019540,3.532507,2985.10000,1.601500,16.20400,0.428900,115.930000,4.96500
1630798561.2287045,93.836000,256.830000,5.685000,0.019560,3.532507,2985.10000,1.601500,16.20400,0.428900,115.930000,4.96500
1630798592.6166408,93.836000,256.830000,5.685000,0.019570,3.532507,2985.10000,1.601500,16.20400,0.428900,115.930000,4.91800
1630798624.0144029,93.836000,256.830000,5.685000,0.019570,3.532507,2985.10000,1.601500,16.20400,0.428900,115.032800,4.91800
1630798655.427492,93.836000,256.830000,5.685000,0.019570,3.532507,2985.10000,1.601500,16.20400,0.428900,115.032800,4.91800
1630798686.8044326,93.836000,256.830000,5.685000,0.019570,3.532507,2985.10000,1.601500,16.20400,0.428900,115.032800,4.91800
1630798718.1326952,93.836000,256.830000,5.685000,0.019570,3.532507,2985.10000,1.601500,16.20400,0.428900,115.032800,4.99600
1630798749.4782135,93.836000,256.830000,5.685000,0.019550,3.532507,2985.10000,1.601500,16.20400,0.428900,115.032800,4.90200
1630798780.8381386,93.836000,256.830000,5.685000,0.019550,3.532507,2985.10000,1.601500,16.20400,0.428900,115.032800,4.90200
